City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Gravelbourg,CA,2022-06-19 05:38:39,49.8834,-106.5512,68.27,83,0,8.48
210,Union City,US,2022-06-19 05:37:15,37.5958,-122.0192,60.58,82,0,5.75
211,Elizabeth City,US,2022-06-19 05:38:39,36.2946,-76.2511,68.04,78,0,6.91
212,Inirida,CO,2022-06-19 05:38:40,3.8653,-67.9239,71.69,96,66,0.51
213,Elliot,ZA,2022-06-19 05:38:40,-31.3333,27.85,43.88,54,67,4.09
214,Thompson,CA,2022-06-19 05:38:41,55.7435,-97.8558,59.16,77,100,8.05
215,Bellefontaine,US,2022-06-19 05:38:41,40.3612,-83.7597,55.92,84,9,6.26
216,Sakaiminato,JP,2022-06-19 05:38:41,35.55,133.2333,85.98,54,75,17.27
217,Ha Tinh,VN,2022-06-19 05:38:42,18.3333,105.9,97.88,44,100,6.42
218,Lasa,IT,2022-06-19 05:38:42,46.6166,10.7002,63.48,83,55,3.13
219,Ornskoldsvik,SE,2022-06-19 05:38:43,63.2909,18.7153,47.41,89,100,15.17
220,Kayerkan,RU,2022-06-19 05:38:43,69.3497,87.7602,51.53,61,71,10.65
221,Komsomolskiy,UZ,2022-06-19 05:38:43,40.4272,71.7189,81.32,32,61,4.61
222,Moroto,UG,2022-06-19 05:38:44,2.5345,34.6666,69.69,65,53,1.95
223,Gorele,TR,2022-06-19 05:38:44,41.0308,39.0031,71.4,69,27,5.91
224,Tabuk,PH,2022-06-19 05:38:45,17.4189,121.4443,89.64,64,46,2.42
225,Lima,PE,2022-06-19 05:38:04,-12.0432,-77.0282,57.45,88,20,6.91
226,Chapais,CA,2022-06-19 05:38:45,49.7834,-74.8492,46.18,70,5,9.42
227,Hamilton,US,2022-06-19 05:36:31,39.1834,-84.5333,61.43,72,0,0.0
228,Inhambane,MZ,2022-06-19 05:39:46,-23.865,35.3833,58.98,94,40,0.0
229,Vila Velha,BR,2022-06-19 05:37:02,-20.3297,-40.2925,71.55,89,20,12.66
230,Esperance,AU,2022-06-19 05:38:07,-33.8667,121.9,60.64,67,52,29.42
231,Russell,US,2022-06-19 05:39:46,32.3502,-85.1999,78.4,78,0,4.61
232,Umm Lajj,SA,2022-06-19 05:39:47,25.0213,37.2685,87.67,59,1,12.95
233,Beidao,CN,2022-06-19 05:39:47,34.5686,105.8933,89.55,33,64,4.25
234,Roald,NO,2022-06-19 05:39:48,62.5833,6.1333,57.16,62,0,8.05
235,Bengkulu,ID,2022-06-19 05:39:32,-3.8004,102.2655,84.25,68,67,6.22
236,Atasu,KZ,2022-06-19 05:39:48,48.6814,71.6433,87.6,20,73,5.14
237,Kaili,ID,2022-06-19 05:39:48,-3.4626,120.2147,74.43,84,49,3.56
238,The Valley,AI,2022-06-19 05:39:49,18.217,-63.0578,81.1,76,20,18.7
239,Myitkyina,MM,2022-06-19 05:39:49,25.3833,97.4,78.12,92,99,1.03
240,Bykovo,RU,2022-06-19 05:39:50,55.6361,38.0803,65.73,59,0,8.95
241,Guayaramerin,BO,2022-06-19 05:39:50,-10.8368,-65.3614,67.51,100,99,3.09
242,Bethel,US,2022-06-19 05:39:51,41.3712,-73.414,55.72,90,84,1.01
243,Kurilsk,RU,2022-06-19 05:39:51,45.2333,147.8833,56.64,83,79,5.08
244,Bay Roberts,CA,2022-06-19 05:39:51,47.5999,-53.2648,62.06,84,100,3.0
245,Mpika,ZM,2022-06-19 05:39:52,-11.8343,31.4529,59.22,65,5,8.08
246,Bodden Town,KY,2022-06-19 05:39:52,19.2833,-81.25,78.01,83,100,1.99
247,San Quintin,MX,2022-06-19 05:39:52,30.4833,-115.95,61.12,84,0,14.18
248,Bongaree,AU,2022-06-19 05:39:53,-27.0797,153.1586,71.62,68,61,15.14
249,Korla,CN,2022-06-19 05:39:53,41.7597,86.1469,87.12,16,100,6.11
250,Kiunga,PG,2022-06-19 05:39:54,-6.1219,141.2906,82.78,82,61,3.91
251,Vila,PT,2022-06-19 05:39:54,42.0304,-8.1588,49.08,93,94,3.42
252,Nantucket,US,2022-06-19 05:39:55,41.2835,-70.0995,57.31,78,97,14.63
253,Montepuez,MZ,2022-06-19 05:39:55,-13.1256,38.9997,66.11,60,1,9.17
254,Muisne,EC,2022-06-19 05:39:55,0.6,-80.0333,74.66,88,99,8.84
255,Tasiilaq,GL,2022-06-19 05:39:56,65.6145,-37.6368,37.56,87,98,9.98
256,Kavaratti,IN,2022-06-19 05:39:56,10.5669,72.642,82.53,74,99,10.89
257,Souillac,MU,2022-06-19 05:39:57,-20.5167,57.5167,73.78,83,75,14.97
258,Qeshm,IR,2022-06-19 05:39:57,26.9581,56.2719,100.27,73,1,14.12
259,Oktyabrskiy,RU,2022-06-19 05:39:58,54.4815,53.471,66.27,76,55,9.91
260,Oudtshoorn,ZA,2022-06-19 05:36:00,-33.5907,22.2014,44.96,86,3,1.1
261,Glasgow,GB,2022-06-19 05:36:47,55.8652,-4.2576,54.28,81,76,7.72
262,Deer Lake,CA,2022-06-19 05:37:20,49.1667,-57.4316,58.86,88,75,2.3
263,Avarua,CK,2022-06-19 05:39:58,-21.2078,-159.775,75.25,64,40,8.05
264,Mosquera,CO,2022-06-19 05:39:59,4.7059,-74.2302,51.89,87,75,6.91
265,Faya,SA,2022-06-19 05:39:59,18.3851,42.4509,79.32,16,76,9.28
266,Samarai,PG,2022-06-19 05:40:00,-10.6167,150.6667,82.0,76,36,10.29
267,Sao Filipe,CV,2022-06-19 05:40:00,14.8961,-24.4956,73.96,86,100,7.47
268,Nueva Armenia,HN,2022-06-19 05:40:01,15.7956,-86.4985,76.03,94,96,2.53
269,Inverell,AU,2022-06-19 05:40:01,-29.7833,151.1167,65.1,51,85,3.0
270,Yar-Sale,RU,2022-06-19 05:40:01,66.8333,70.8333,73.49,44,97,12.48
271,Kajaani,FI,2022-06-19 05:40:02,64.2273,27.7285,51.85,93,100,10.36
272,Aklavik,CA,2022-06-19 05:40:02,68.2191,-135.0107,46.85,73,100,13.0
273,Batagay-Alyta,RU,2022-06-19 05:40:03,67.8006,130.4114,63.09,52,100,17.43
274,Kendal,GB,2022-06-19 05:40:03,54.3268,-2.7476,53.58,88,67,8.34
275,Clyde River,CA,2022-06-19 05:41:03,70.4692,-68.5914,37.63,75,0,10.36
276,Upernavik,GL,2022-06-19 05:41:04,72.7868,-56.1549,33.76,87,99,17.54
277,Ardesen,TR,2022-06-19 05:41:04,41.1911,40.9875,72.46,70,5,3.65
278,Vao,NC,2022-06-19 05:41:05,-22.6667,167.4833,71.04,81,100,21.77
279,Dera Bugti,PK,2022-06-19 05:41:05,29.0307,69.151,97.07,35,0,6.67
280,Gat,IL,2022-06-19 05:41:05,31.61,34.7642,77.77,100,2,5.01
281,Changde,CN,2022-06-19 05:41:06,29.0464,111.6783,77.09,94,100,0.89
282,Vanimo,PG,2022-06-19 05:41:06,-2.6741,141.3028,84.0,71,31,9.53
283,Tilichiki,RU,2022-06-19 05:41:07,60.4667,166.1,48.87,72,99,3.8
284,Bridlington,GB,2022-06-19 05:41:07,54.0831,-0.1919,53.89,80,63,13.85
285,Ibipeba,BR,2022-06-19 05:41:08,-11.6408,-42.0111,60.44,82,0,5.93
286,Chebenki,RU,2022-06-19 05:41:08,51.9337,55.7077,74.95,59,65,12.59
287,Grindavik,IS,2022-06-19 05:41:08,63.8424,-22.4338,48.67,93,75,11.5
