City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
262,Thunder Bay,48.4001,-89.3168,49.98,81,75,14.97,CA,broken clouds
263,Abbeville,50.1,1.8333,57.49,93,100,10.74,FR,overcast clouds
264,Manasa,24.4837,75.2687,88.48,54,0,16.22,IN,clear sky
265,Omboue,-1.5746,9.2618,71.06,88,72,8.7,GA,broken clouds
266,Houston,29.7633,-95.3633,90.28,56,20,10.36,US,few clouds
267,Biloela,-24.4167,150.5,71.46,46,63,9.22,AU,broken clouds
268,Urucara,-2.5364,-57.76,74.75,83,76,2.71,BR,broken clouds
269,Ilulissat,69.2167,-51.1,30.54,88,18,5.61,GL,few clouds
270,Shu,43.5983,73.7614,85.21,26,94,7.72,KZ,overcast clouds
271,Agadez,19.75,10.25,83.97,15,2,10.78,NE,clear sky
272,Grand Gaube,-20.0064,57.6608,68.38,74,0,1.99,MU,clear sky
273,Neiafu,-18.65,-173.9833,83.08,78,75,8.05,TO,broken clouds
274,Puerto Escondido,15.85,-97.0667,79.25,86,100,2.93,MX,overcast clouds
275,Pevek,69.7008,170.3133,48.6,59,39,14.99,RU,scattered clouds
276,Karratha,-20.7377,116.8463,79.68,35,0,16.71,AU,clear sky
277,Coahuayana,18.7333,-103.6833,78.89,83,83,0.25,MX,broken clouds
278,Goba,7.0167,39.9833,50.32,88,18,4.23,ET,few clouds
279,Alexandria,31.2156,29.9553,71.56,78,40,5.75,EG,scattered clouds
280,Napa,38.4832,-122.3344,77.07,49,0,3.58,US,clear sky
281,Arrifes,37.7667,-25.7,62.24,77,75,11.5,PT,broken clouds
282,Umba,66.6871,34.3429,43.68,90,100,7.76,RU,light rain
283,Los Algarrobos,8.5,-82.4333,72.01,100,40,2.3,PA,scattered clouds
284,Cayenne,4.9333,-52.3333,78.1,1,20,0.0,GF,few clouds
285,Cidreira,-30.1811,-50.2056,51.26,81,0,5.79,BR,clear sky
286,Homer,59.6425,-151.5483,57.09,73,100,8.05,US,overcast clouds
287,Spas,48.8899,24.0629,63.64,70,2,5.55,UA,clear sky
288,Gandajika,-6.75,23.95,72.52,60,99,2.75,CD,overcast clouds
289,Jardim,-21.4803,-56.1381,60.6,89,0,4.65,BR,clear sky
290,Nabire,-3.3667,135.4833,81.5,77,99,3.53,ID,overcast clouds
291,Tual,-5.6667,132.75,80.44,76,100,7.54,ID,overcast clouds
292,Zolochiv,49.806,24.8944,63.97,74,0,6.71,UA,clear sky
293,Hengyang,26.8881,112.615,77.04,95,100,5.55,CN,overcast clouds
294,Codrington,-38.2667,141.9667,52.41,81,100,21.12,AU,light rain
295,Kruisfontein,-34.0033,24.7314,47.52,86,71,5.39,ZA,broken clouds
296,Miri,4.4148,114.0089,78.94,89,40,9.22,MY,scattered clouds
297,Perevoz,55.5961,44.5446,57.38,92,95,14.67,RU,overcast clouds
298,Meiganga,6.5167,14.3,62.38,98,100,2.98,CM,overcast clouds
299,Keshorai Patan,25.3,75.9333,86.29,74,40,5.75,IN,mist
300,Mizdah,31.4451,12.9801,67.24,71,0,5.08,LY,clear sky
301,Port-Gentil,-0.7193,8.7815,73.44,85,100,16.4,GA,overcast clouds
302,Namibe,-15.1961,12.1522,58.17,84,0,4.23,AO,clear sky
303,Brody,50.0879,25.1503,64.45,74,0,7.99,UA,clear sky
304,Linqiong,30.4159,103.4609,84.02,62,73,3.71,CN,broken clouds
305,Bara,10.3744,10.7288,75.16,75,99,11.07,NG,overcast clouds
306,Walvis Bay,-22.9575,14.5053,55.09,94,4,6.91,NA,clear sky
307,Springbok,-29.6643,17.8865,42.71,45,0,10.29,ZA,clear sky
308,Awjilah,29.1081,21.2869,76.55,41,0,5.06,LY,clear sky
309,Lavrentiya,65.5833,-171.0,54.12,55,61,12.68,RU,broken clouds
310,La Colorada,8.0167,-80.9833,73.18,96,100,4.68,PA,overcast clouds
311,Mecca,21.4267,39.8261,87.12,44,52,2.82,SA,broken clouds
312,West Wendover,40.7391,-114.0733,61.81,29,0,9.22,US,clear sky
313,Hinton,53.4001,-117.5857,51.1,86,89,1.39,CA,overcast clouds
314,Richards Bay,-28.783,32.0377,64.27,81,92,4.72,ZA,overcast clouds
315,Novorzhev,57.0294,29.3338,49.84,95,83,3.8,RU,broken clouds
316,Parnamirim,-5.9156,-35.2628,76.89,88,20,4.61,BR,few clouds
317,Batagay-Alyta,67.8006,130.4114,50.49,46,98,13.18,RU,overcast clouds
318,Orange,33.7,-117.7675,76.39,63,0,4.61,US,clear sky
319,Mirnyy,62.5353,113.9611,44.24,93,100,15.99,RU,overcast clouds
320,San Patricio,28.017,-97.5169,85.84,80,5,8.48,US,clear sky
321,Beliator,23.3333,87.2167,82.54,42,100,10.0,IN,overcast clouds
322,Ziyang,29.2497,117.8547,73.9,100,100,2.08,CN,moderate rain
323,Floro,61.5996,5.0328,50.97,93,3,1.14,NO,clear sky
324,Champoton,19.35,-90.7167,77.14,87,100,8.03,MX,overcast clouds
325,Kieta,-6.2167,155.6333,84.11,63,0,4.74,PG,clear sky
326,Sao Borja,-28.6606,-56.0044,46.94,87,0,4.32,BR,clear sky
327,Asmar,35.0333,71.3581,76.1,57,95,6.55,AF,overcast clouds
328,Baghdad,33.3406,44.4009,87.71,27,0,8.05,IQ,clear sky
329,Norman Wells,65.282,-126.8329,73.44,46,75,11.5,CA,broken clouds
330,Rawson,-43.3002,-65.1023,40.08,65,0,9.1,AR,clear sky
331,Koupela,12.1794,-0.3517,80.22,70,0,10.71,BF,clear sky
332,Bethel,41.3712,-73.414,60.67,64,0,0.0,US,clear sky
333,Kyra,49.5776,111.9753,70.97,43,2,18.14,RU,clear sky
334,Xining,36.6167,101.7667,56.68,83,100,4.07,CN,overcast clouds
335,Lagoa,39.05,-27.9833,62.4,74,65,20.56,PT,broken clouds
336,Ust-Kuyga,70.0167,135.6,39.43,74,100,20.42,RU,overcast clouds
