City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
277,Coahuayana,MX,78.89,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
280,Napa,US,77.07,clear sky,38.4832,-122.3344,Fortuna Ranch
284,Cayenne,GF,78.1,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
290,Nabire,ID,81.5,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
291,Tual,ID,80.44,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
293,Hengyang,CN,77.04,overcast clouds,26.8881,112.615,Honglin Guesthouse
296,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
304,Linqiong,CN,84.02,broken clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
308,Awjilah,LY,76.55,clear sky,29.1081,21.2869,المنزل
316,Parnamirim,BR,76.89,few clouds,-5.9156,-35.2628,Pousada Joaci
318,Orange,US,76.39,clear sky,33.7,-117.7675,Meadows
321,Beliator,IN,82.54,overcast clouds,23.3333,87.2167,SHARMA HOTEL( CHANDURIA)
324,Champoton,MX,77.14,overcast clouds,19.35,-90.7167,HOTEL Posada La Regia
325,Kieta,PG,84.11,clear sky,-6.2167,155.6333,Uruna Bay Retreat
327,Asmar,AF,76.1,overcast clouds,35.0333,71.3581,COP Monti
331,Koupela,BF,80.22,clear sky,12.1794,-0.3517,AUBERGE MAQUIS RESTO CAFE LE ROUTIER PLUS
346,Malindi,KE,78.96,scattered clouds,-3.2175,40.1191,African House Resort
348,Najran,SA,79.45,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
366,Seydi,TM,84.31,overcast clouds,39.4816,62.9137,Seydi oteli
368,Banepa,NP,77.32,broken clouds,27.6298,85.5214,Dhulikhel Lodge Resort
369,Meulaboh,ID,82.85,overcast clouds,4.1363,96.1285,Kost Pria
370,Aldan,RU,75.96,broken clouds,58.6031,125.3894,Aldan Guest House
373,Catio,GW,76.77,overcast clouds,11.2833,-15.25,Pausada Morabedja
374,Venice,US,79.14,scattered clouds,27.0998,-82.4543,A Beach Retreat On Casey Key
378,Vanimo,PG,84.74,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
387,Auki,SB,82.62,overcast clouds,-8.7676,160.7034,Auki Motel
390,Chaman,PK,81.54,clear sky,30.9236,66.4512,Niamat parda Center chaman
392,Hurghada,EG,78.84,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
396,Cotorra,CO,77.05,overcast clouds,9.0389,-75.7897,RANCHO DE LUCIA
401,Komsomolskiy,UZ,83.12,overcast clouds,40.4272,71.7189,Ikathouse
405,Punta Gorda,US,80.01,overcast clouds,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
406,Aksu,CN,77.92,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
409,Tumkur,IN,76.15,overcast clouds,13.3422,77.1017,Vaishali Comforts
417,Makakilo City,US,79.12,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
419,Road Town,VG,81.09,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
424,Gazanjyk,TM,83.84,few clouds,39.2446,55.5154,Railway motel
